ticket_number,issued_date,location,description,status,dayofweek,hourofday,lat,lon,count,amount
371770D,2023/01/01 01:10:00+00,100 WALTON ST,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Adjudication Pending ,Sunday,1,43.048044,-76.153734,1,25
392244D,2023/01/01 01:02:00+00,300 GENESEE ST W,NO STPNG HERE TO CNR/ALL CO15-316(A)6,Fourth Notice,Sunday,1,43.0485203,-76.2427812,1,25
392245D,2023/01/01 01:03:00+00,300 GENESEE ST W,NO STPNG HERE TO CNR/ALL CO15-316(A)6,Adjudication Pending ,Sunday,1,43.0485203,-76.2427812,1,25
380900D,2023/01/01 14:23:00+00,200 STATE ST N,PRKD BLOCKING CRSSWLK/ALL CO15-316 (A)5,Fourth Notice,Sunday,14,43.066684,-76.0765269,1,60
389527D,2023/01/01 14:45:00+00,100 BUCKINGHAM AVE,UNINSPECTED/ ALL TIMES VTL 306-B,Adjudication Approved,Sunday,14,43.03349135,-76.12227665,1,0
369468D,2023/01/01 19:23:00+00,1500 GENESEE ST E,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Adjudication Pending ,Sunday,19,43.0467679,-76.1274027,1,60
369469D,2023/01/01 19:24:00+00,1500 GENESEE ST E,NONE/ONE LICENSE PLATE/ALL VTL402-1,Adjudication Pending ,Sunday,19,43.0467679,-76.1274027,1,25
369465D,2023/01/01 19:15:00+00,1500 GENESEE ST E,NO STPNG HERE TO CNR/ALL CO15-316(A)6,Paid In Full,Sunday,19,43.0467679,-76.1274027,1,25
369466D,2023/01/01 19:16:00+00,1500 GENESEE ST E,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Sunday,19,43.0467679,-76.1274027,1,60
369467D,2023/01/01 19:25:00+00,1500 GENESEE ST E,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,Sunday,19,43.0467679,-76.1274027,1,60
SH31357,2023/01/01 13:48:00+00,500 SALINA ST N,HANDICAP PARKING-OFF STREET VTL1203C4,Paid In Full,Sunday,13,43.0438209,-76.15243791919212,1,100
389539D,2023/01/01 20:31:00+00,1000 WESTCOTT ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Third Notice,Sunday,20,43.0334685,-76.1189433,1,60
369470D,2023/01/01 19:35:00+00,100 DORSET RD,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Sunday,19,43.032966900000005,-76.12705284047584,1,60
369471D,2023/01/01 19:45:00+00,700 SUMNER AVE,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,Sunday,19,43.037936650000006,-76.12608987597199,1,25
369472D,2023/01/01 19:53:00+00,100 BROAD ST,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Adjudication Pending ,Sunday,19,43.027146349999995,-76.1258977507992,1,25
369473D,2023/01/01 20:01:00+00,1000 LANCASTER AVE,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,Sunday,20,43.032002,-76.122848,1,25
369474D,2023/01/01 20:04:00+00,1100 LANCASTER AVE,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,Sunday,20,43.030096,-76.122391,1,25
369475D,2023/01/01 20:09:00+00,1400 LANCASTER AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Issued,Sunday,20,43.02696,-76.122118,1,60
369476D,2023/01/01 20:12:00+00,400 BUCKINGHAM AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Sunday,20,43.0276814,-76.1210386,1,60
369477D,2023/01/01 20:15:00+00,300 BUCKINGHAM AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Sunday,20,43.030148,-76.121252,1,60
